iter	Passed	Remaining
0	0	80
1	1	66
2	1	62
3	2	54
4	2	52
5	3	50
6	3	49
7	4	48
8	4	47
9	5	46
10	5	44
11	5	43
12	6	41
13	6	40
14	6	39
15	7	38
16	7	37
17	7	36
18	8	35
19	8	34
20	8	33
21	9	32
22	9	32
23	9	31
24	10	30
25	10	30
26	10	29
27	11	29
28	11	28
29	11	27
30	12	27
31	12	26
32	12	26
33	13	25
34	13	25
35	13	24
36	14	24
37	14	23
38	14	23
39	15	22
40	15	22
41	15	21
42	16	21
43	16	20
44	16	20
45	17	20
46	17	19
47	17	19
48	18	18
49	18	18
50	18	17
51	19	17
52	19	17
53	19	16
54	19	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	22	14
61	22	13
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	10
70	25	10
71	26	10
72	26	9
73	26	9
74	27	9
75	27	8
76	27	8
77	28	7
78	28	7
79	28	7
80	29	6
81	29	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
