iter	Passed	Remaining
0	56	56041
1	56	28223
2	57	18971
3	57	14328
4	58	11546
5	58	9678
6	58	8357
7	59	7362
8	59	6592
9	60	5970
10	60	5464
11	61	5043
12	61	4681
13	62	4374
14	62	4107
15	63	3874
16	63	3669
17	64	3493
18	64	3330
19	64	3183
20	65	3047
21	65	2927
22	66	2817
23	66	2716
24	67	2623
25	67	2537
26	68	2459
27	68	2384
28	69	2314
29	69	2250
30	70	2192
31	70	2137
32	71	2083
33	71	2032
34	71	1984
35	72	1939
36	72	1896
37	73	1855
38	73	1817
39	74	1781
40	74	1745
41	75	1714
42	75	1682
43	76	1651
44	76	1622
45	76	1594
46	77	1567
47	77	1544
48	78	1520
49	78	1498
50	79	1476
51	79	1455
52	80	1437
53	80	1418
54	81	1400
55	81	1381
56	82	1365
57	83	1348
58	83	1332
59	84	1317
60	84	1305
61	85	1291
62	86	1280
63	86	1267
64	87	1257
65	87	1244
66	88	1233
67	89	1221
68	89	1210
69	90	1199
70	90	1188
71	91	1176
72	91	1166
73	92	1156
74	92	1145
75	93	1134
76	93	1124
77	94	1114
78	94	1106
79	95	1097
80	95	1087
81	96	1078
82	96	1066
83	96	1057
84	97	1048
85	97	1040
86	98	1031
87	98	1022
88	99	1014
89	99	1006
90	100	999
91	100	992
92	100	984
93	101	978
94	102	972
95	102	964
96	102	957
97	103	950
98	103	945
99	104	939
100	104	933
101	105	928
102	106	924
103	106	919
104	107	913
105	107	907
106	108	902
107	108	896
108	108	890
109	109	885
110	109	880
111	110	875
112	111	871
113	111	866
114	112	862
115	112	857
116	112	851
117	113	847
118	113	842
119	114	838
120	114	833
121	115	828
122	115	823
123	115	819
124	116	816
125	117	812
126	117	807
127	117	803
128	118	800
129	119	796
130	119	792
131	119	788
132	120	784
133	120	781
134	121	777
135	121	774
136	122	770
137	122	766
138	123	763
139	123	759
140	124	756
141	124	752
142	124	748
143	125	745
144	125	741
145	126	738
146	126	735
147	127	731
148	127	728
149	128	725
150	128	722
151	128	719
152	129	716
153	129	713
154	130	710
155	130	707
156	131	704
157	131	701
158	132	698
159	132	695
160	132	691
161	133	689
162	133	686
163	134	683
164	134	680
165	134	678
166	135	675
167	135	673
168	136	670
169	136	667
170	137	664
171	137	662
172	137	659
173	138	656
174	138	653
175	139	651
176	139	648
177	139	646
178	140	643
179	140	640
180	141	638
181	141	636
182	142	633
183	142	631
184	142	629
185	143	627
186	143	624
187	144	622
188	144	620
189	145	618
190	145	615
191	145	613
192	146	611
193	146	609
194	147	607
195	147	605
196	147	602
197	148	600
198	148	598
199	149	596
200	149	595
201	150	593
202	150	591
203	151	589
204	151	587
205	151	585
206	152	583
207	152	581
208	153	579
209	153	577
210	153	575
211	154	573
212	154	571
213	155	569
214	155	567
215	155	565
216	156	563
217	156	562
218	157	560
219	157	559
220	158	558
221	159	557
222	159	556
223	160	555
224	160	554
225	161	553
226	162	552
227	162	550
228	163	549
229	163	548
230	164	546
231	164	545
232	165	544
233	165	542
234	166	541
235	166	539
236	167	538
237	167	536
238	167	534
239	168	534
240	169	533
241	169	532
242	170	530
243	170	529
244	171	527
245	171	526
246	172	524
247	172	523
248	172	521
249	173	520
250	173	518
251	174	516
252	174	515
253	174	513
254	175	512
255	175	510
256	176	509
257	176	507
258	176	506
259	177	504
260	177	503
261	178	501
262	178	500
263	179	499
264	179	497
265	179	495
266	180	494
267	180	492
268	180	491
269	181	491
270	182	490
271	182	489
272	183	487
273	183	486
274	184	485
275	184	483
276	184	482
277	185	481
278	185	479
279	186	478
280	186	477
281	187	476
282	187	475
283	187	473
284	188	472
285	188	470
286	188	469
287	189	467
288	189	466
289	189	464
